Категория,Артикул,Наименование,Цена
/Ковры/Ковры и паласы/,eo5729261,Ковер Roxy  D704  Brown  2.8*3.8  MS,14487
/Ковры/Ковры и паласы/,eo5732026,Ковер Roxy  D704  Brown  2.8*4.8  MS,18300
/Ковры/Ковры и паласы/,eo5727632,Ковер Roxy  D704  Purple  1.2*1.7  MS,2778
/Ковры/Ковры и паласы/,eo5728310,Ковер Roxy  D704  Purple  1.6*2.2  MS,4793
/Ковры/Ковры и паласы/,eo5728313,Ковер Roxy  D704  Purple  Овал  2.4*3.4  MS,11111
/Ковры/Ковры и паласы/,eo5729262,Ковер Roxy  D706  Blue  Овал  2.4*3.4  MS,11111
/Ковры/Ковры и паласы/,eo5727654,Ковер Roxy  D706  Brown  1.2*1.7  MS,2778
/Ковры/Ковры и паласы/,eo5728314,Ковер Roxy  D706  Brown  1.6*2.2  MS,4793
/Ковры/Ковры и паласы/,eo5728316,Ковер Roxy  D706  Brown  1.6*3.0  MS,6536
/Ковры/Ковры и паласы/,eo5731860,Ковер Roxy  D706  Brown  2.0*2.9  MS,7898
/Ковры/Ковры и паласы/,eo5728318,Ковер Roxy  D706  Brown  2.4*3.4  MS,11111
/Ковры/Ковры и паласы/,eo5731863,Ковер Roxy  D706  Brown  2.8*3.8  MS,14487
/Ковры/Ковры и паласы/,eo5732029,Ковер Roxy  D706  Brown  2.8*4.8  MS,18300
/Ковры/Ковры и паласы/,eo5727657,Ковер Roxy  D706  Brown  Овал  2.0*2.9  MS,7898
/Ковры/Ковры и паласы/,eo5727660,Ковер Roxy  D706  Purple  2.4*3.4  MS,11111
/Ковры/Ковры и паласы/,eo5732034,Ковер Roxy  D707  Cream  2.8*3.8  MS,14487
/Ковры/Ковры и паласы/,eo5732036,Ковер Roxy  D707  Cream  2.8*4.8  MS,18300
/Ковры/Ковры и паласы/,eo5732032,Ковер Roxy  D707  Cream  Овал  2.4*3.3  MS,10784
/Ковры/Ковры и паласы/,eo5732035,Ковер Roxy  D707  Cream  Овал  2.8*4.8  MS,18300
/Ковры/Ковры и паласы/,eo5715963,Ковер Sahande  6810A  L.Beige-L.Bronze  3.0*4.0  Pr,28941
/Ковры/Ковры и паласы/,eo5729469,Ковер Sahande  8057A  Ivory-Rose  Овал  0.8*1.5  Pr,2895
/Ковры/Ковры и паласы/,eo5716057,Ковер Sahande  9089A  L.Ivory-L.Bronze  0.8*1.5  Pr,2894
/Ковры/Ковры и паласы/,eo5729470,Ковер Sahande  9089A  L.Ivory-L.Bronze  1.0*2.0  Pr,4824
/Ковры/Ковры и паласы/,eo5716412,Ковер Sahande  9089A  L.Ivory-L.Bronze  1.2*1.8  Pr,5209
/Ковры/Ковры и паласы/,eo5729471,Ковер Sahande  9089A  L.Ivory-L.Bronze  1.5*3.0  Pr,10854
/Ковры/Ковры и паласы/,eo5729476,Ковер Sahande  9229A  Ivory-Rose  1.0*2.0  Pr,4824
/Ковры/Ковры и паласы/,eo5729477,Ковер Sahande  9229A  Ivory-Rose  2.4*3.4  Pr,19681
/Ковры/Ковры и паласы/,eo5729478,Ковер Sahande  9229A  Ivory-Rose  Овал  1.0*2.0  Pr,4824
/Ковры/Ковры и паласы/,eo5729479,Ковер Sahande  9229A  Ivory-Rose  Овал  2.4*3.4  Pr,19681
/Ковры/Ковры и паласы/,eo5729480,Ковер Sahande  9232A  Ivory-Rose  Овал  1.0*2.0  Pr,4824
/Ковры/Ковры и паласы/,eo5715968,Ковер Sahande  9247A  Ivory-Rose  1.6*2.3  Pr,8875
/Ковры/Ковры и паласы/,eo5725463,Ковер Sahande  9247A  Ivory-Rose  2.0*4.0  Pr,19296
/Ковры/Ковры и паласы/,eo5715970,Ковер Sahande  9257A  Ivory-Rose  0.8*1.5  Pr,2894
/Ковры/Ковры и паласы/,eo5715971,Ковер Sahande  9257A  Ivory-Rose  1.6*2.3  Pr,8875
/Ковры/Ковры и паласы/,eo5729481,Ковер Sahande  9257A  Ivory-Rose  2.0*4.0  Pr,19296
/Ковры/Ковры и паласы/,eo5729482,Ковер Sahande  9257A  Ivory-Rose  2.4*3.4  Pr,19681
/Ковры/Ковры и паласы/,eo5729486,Ковер Sahande  9265A  L.Bronze-L.Bronze  1.0*2.0  Pr,4824
/Ковры/Ковры и паласы/,eo5168469,Ковер Sahande  9265A  L.Bronze-L.Bronze  1.6*2.3  Pr,8875
/Ковры/Ковры и паласы/,eo5729487,Ковер Sahande  9265A  L.Bronze-L.Bronze  Овал  1.0*2.0 ...,4824
/Ковры/Ковры и паласы/,eo5729488,Ковер Sahande  9265A  L.Bronze-L.Bronze  Овал  2.4*3.4 ...,19681
/Ковры/Ковры и паласы/,eo5729484,Ковер Sahande  9265A  Rose-Rose  0.8*1.5  Pr,2895
/Ковры/Ковры и паласы/,eo5729485,Ковер Sahande  9265A  Rose-Rose  1.0*2.0  Pr,4824
/Ковры/Ковры и паласы/,eo5168472,Ковер Sahande  9265A  Rose-Rose  1.6*2.3  Pr,8875
/Ковры/Ковры и паласы/,eo5724866,Ковер Sahande  9265A  Rose-Rose  Овал  1.0*2.0  Pr,4824
/Ковры/Ковры и паласы/,eo5724868,Ковер Sahande  9267A  D.Blue-D.Blue  0.8*1.5  Pr,2895
/Ковры/Ковры и паласы/,eo5724869,Ковер Sahande  9267A  D.Blue-D.Blue  1.0*2.0  Pr,4824
/Ковры/Ковры и паласы/,eo5722170,Ковер Sahande  9267A  D.Blue-D.Blue  1.5*3.0  Pr,10854
/Ковры/Ковры и паласы/,eo5167969,Ковер Sahande  9267A  D.Blue-D.Blue  2.0*2.9  Pr,13988
/Ковры/Ковры и паласы/,eo5167970,Ковер Sahande  9267A  D.Blue-D.Blue  2.0*4.0  Pr,19294
/Ковры/Ковры и паласы/,eo5729499,Ковер Sahande  9267A  D.Blue-D.Blue  Овал  0.8*1.5  Pr,2895
/Ковры/Ковры и паласы/,eo5724874,Ковер Sahande  9267A  D.Blue-D.Blue  Овал  1.5*3.0  Pr,10854
/Ковры/Ковры и паласы/,eo5729491,Ковер Sahande  9267A  L.Beige-L.Bronze  1.5*3.0  Pr,10854
/Ковры/Ковры и паласы/,eo5729492,Ковер Sahande  9267A  L.Bronze-L.Bronze  0.8*1.5  Pr,2895
/Ковры/Ковры и паласы/,eo5729493,Ковер Sahande  9267A  L.Bronze-L.Bronze  1.0*2.0  Pr,4824
/Ковры/Ковры и паласы/,eo5729494,Ковер Sahande  9267A  L.Bronze-L.Bronze  2.4*3.4  Pr,19681
/Ковры/Ковры и паласы/,eo5729495,Ковер Sahande  9267A  L.Bronze-L.Bronze  2.5*4.0  Pr,24119
/Ковры/Ковры и паласы/,eo5715978,Ковер Sahande  9267A  L.Bronze-L.Bronze  3.0*4.0  Pr,28941
/Ковры/Ковры и паласы/,eo5729498,Ковер Sahande  9267A  L.Bronze-L.Bronze  Овал  2.4*3.4 ...,19681
/Ковры/Ковры и паласы/,eo5722167,Ковер Sahande  9267A  Rose-Rose  0.8*1.5  Pr,2895
/Ковры/Ковры и паласы/,eo5722168,Ковер Sahande  9267A  Rose-Rose  1.0*2.0  Pr,4824
/Ковры/Ковры и паласы/,eo5715977,Ковер Sahande  9267A  Rose-Rose  2.0*2.9  Pr,13988
/Ковры/Ковры и паласы/,eo5167973,Ковер Sahande  9267A  Rose-Rose  2.0*4.0  Pr,19294
/Ковры/Ковры и паласы/,eo5729489,Ковер Sahande  9267A  Rose-Rose  2.4*3.4  Pr,19681
/Ковры/Ковры и паласы/,eo5730609,Ковер Sahande  9267A  Rose-Rose  3.0*4.0  Pr,28943
/Ковры/Ковры и паласы/,eo5167974,Ковер Sahande  9267A  Rose-Rose  Овал  2.4*3.4  Pr,19679
/Ковры/Ковры и паласы/,eo5715982,Ковер Sahande  9290A  Ivory-Rose  0.8*1.5  Pr,2894
/Ковры/Ковры и паласы/,eo5729502,Ковер Sahande  9290A  Ivory-Rose  1.0*2.0  Pr,4824
/Ковры/Ковры и паласы/,eo5729503,Ковер Sahande  9290A  Ivory-Rose  2.0*4.0  Pr,19296
/Ковры/Ковры и паласы/,eo5729504,Ковер Sahande  9290A  Ivory-Rose  2.4*3.4  Pr,19681
/Ковры/Ковры и паласы/,eo5729505,Ковер Sahande  9290A  Ivory-Rose  Овал  1.0*2.0  Pr,4824
/Ковры/Ковры и паласы/,eo5729501,Ковер Sahande  9290A  Ivory-Rose  Овал  2.4*3.4  Pr,19681
/Ковры/Ковры и паласы/,eo5715985,Ковер Sahande  9802A  Ivory-Mustard  0.8*1.5  Pr,2894
/Ковры/Ковры и паласы/,eo5729506,Ковер Sahande  9802A  Ivory-Mustard  1.2*1.8  Pr,5210
/Ковры/Ковры и паласы/,eo5715986,Ковер Sahande  9802A  Ivory-Mustard  1.6*2.3  Pr,8875
/Ковры/Ковры и паласы/,eo5729507,Ковер Sahande  9802A  Ivory-Mustard  2.4*3.4  Pr,19681
/Ковры/Ковры и паласы/,eo5715988,Ковер Sahande  9802A  Ivory-Mustard  3.0*4.0  Pr,28941
/Ковры/Ковры и паласы/,eo5142252,Ковер Semerkant  8884  rose-cream  1.0*2.0  Kk,4896
/Ковры/Ковры и паласы/,eo5718048,Ковер Shaggy  0000F  Grey-Grey  2.5*3.5  Pr,13071
/Ковры/Ковры и паласы/,eo5718055,Ковер Shaggy  0000F  Turquoise-Turquoise  2.5*3.5  Pr,13071
/Ковры/Ковры и паласы/,eo5718061,Ковер Shaggy  0000F  White-White  Овал  2.5*4.0  Pr,14939
/Ковры/Ковры и паласы/,eo5714056,Ковер Shaggy  Style  0000F  Beige-Beige  Овал  1.0*2.0 ...,5677
/Ковры/Ковры и паласы/,eo5729909,Ковер Shaggy  Style  0000F  Black-Black  Овал  2.0*3.0 ...,16991
/Ковры/Ковры и паласы/,eo5729896,Ковер Shaggy  Style  0000F  Bronze-Bronze  1.0*2.0  Pr,5664
/Ковры/Ковры и паласы/,eo5714694,Ковер Shaggy  Style  0000F  Brown-Brown  0.8*1.5  Pr,3399
/Ковры/Ковры и паласы/,eo5714690,Ковер Shaggy  Style  0000F  Brown-Brown  Овал  2.0*3.0 ...,16992
/Ковры/Ковры и паласы/,eo5715995,Ковер Shaggy  Style  0000F  Crimson-Crimson  1.0*2.0  P...,5664
/Ковры/Ковры и паласы/,eo5715996,Ковер Shaggy  Style  0000F  Crimson-Crimson  1.2*1.8  P...,6117
/Ковры/Ковры и паласы/,eo5714038,Ковер Shaggy  Style  0000F  Crimson-Crimson  2.0*3.0  P...,17032
/Ковры/Ковры и паласы/,eo5714066,Ковер Shaggy  Style  0000F  Crimson-Crimson  Овал  0.8*...,3407
/Ковры/Ковры и паласы/,eo5714602,Ковер Shaggy  Style  0000F  D.Beige-D.Beige  0.8*1.5  P...,3399
/Ковры/Ковры и паласы/,eo5714046,Ковер Shaggy  Style  0000F  D.Beige-D.Beige  1.0*2.0  P...,5677
/Ковры/Ковры и паласы/,eo5718067,Ковер Shaggy  Style  0000F  D.Beige-D.Beige  1.5*3.0  P...,12744
/Ковры/Ковры и паласы/,eo5714603,Ковер Shaggy  Style  0000F  D.Beige-D.Beige  2.0*3.0  P...,16992
/Ковры/Ковры и паласы/,eo5729894,Ковер Shaggy  Style  0000F  D.Bronze-D.Bronze  Круг  1...,2832
/Ковры/Ковры и паласы/,eo5729907,Ковер Shaggy  Style  0000F  D.Bronze-D.Bronze  Овал  1...,6117
/Ковры/Ковры и паласы/,eo5714049,Ковер Shaggy  Style  0000F  D.Green-D.Green  0.8*1.5  P...,3407
/Ковры/Ковры и паласы/,eo5714052,Ковер Shaggy  Style  0000F  D.Green-D.Green  2.0*3.0  P...,17032
/Ковры/Ковры и паласы/,eo5714029,Ковер Shaggy  Style  0000F  D.Green-D.Green  Круг  0.8*...,1817
/Ковры/Ковры и паласы/,eo5714077,Ковер Shaggy  Style  0000F  D.Green-D.Green  Овал  0.8*...,3407
/Ковры/Ковры и паласы/,eo5716372,Ковер Shaggy  Style  0000F  Green-Green  Овал  1.5*3.0 ...,12744
/Ковры/Ковры и паласы/,eo5714045,Ковер Shaggy  Style  0000F  Grey-Grey  1.0*2.0  Pr,5677
/Ковры/Ковры и паласы/,eo5714040,Ковер Shaggy  Style  0000F  Milky-Milky  1.0*2.0  Pr,5677
/Ковры/Ковры и паласы/,eo5718168,Ковер Shaggy  Style  0000F  Milky-Milky  1.2*1.8  Pr,6117
/Ковры/Ковры и паласы/,eo5729898,Ковер Shaggy  Style  0000F  Red-Red  0.8*1.5  Pr,3398
/Ковры/Ковры и паласы/,eo5729899,Ковер Shaggy  Style  0000F  Red-Red  1.0*2.0  Pr,5664
/Ковры/Ковры и паласы/,eo5729900,Ковер Shaggy  Style  0000F  Red-Red  1.2*1.8  Pr,6117
/Ковры/Ковры и паласы/,eo5729892,Ковер Shaggy  Style  0000F  Red-Red  Круг  0.8*0.8  Pr,1812
/Ковры/Ковры и паласы/,eo5730613,Ковер Shaggy  Style  0000F  Red-Red  Круг  1.0*1.0  Pr,2832
/Ковры/Ковры и паласы/,eo5715997,Ковер Shaggy  Style  0000F  Rose-Rose  1.0*2.0  Pr,5664
/Ковры/Ковры и паласы/,eo5721194,Ковер Shaggy Sapphire  SF001_01С3  3.0*4.0  Vld  беж,12117
/Ковры/Ковры и паласы/,eo5721216,Ковер Shaggy Sapphire  SF001_02B2  2.0*4.0  Vld  серый,8078
/Ковры/Ковры и паласы/,eo5721217,Ковер Shaggy Sapphire  SF001_02B2  2.5*3.5  Vld  серый,8836
/Ковры/Ковры и паласы/,eo5721218,Ковер Shaggy Sapphire  SF001_02B2  2.5*4.0  Vld  серый,10098
/Ковры/Ковры и паласы/,eo5728055,Ковер Shaggy Sapphire  SF001_06С3  0.6*1.2  Vld  зелен,727
/Ковры/Ковры и паласы/,eo5730119,Ковер Shaggy Sapphire  SF002_01A1  1.0*2.0  Vld  крем,2020
/Ковры/Ковры и паласы/,eo5731172,Ковер Shaggy Sapphire  SF002_01A1  Овал  1.5*3.0  Vld  ...,4544
/Ковры/Ковры и паласы/,eo5730125,Ковер Shaggy Sapphire  SF003_01С3  0.6*1.0  Vld  беж,606
/Ковры/Ковры и паласы/,eo5725004,Ковер Shaggy Sapphire  SF003_01С3  1.0*2.0  Vld  беж,2020
/Ковры/Ковры и паласы/,eo5721618,Ковер Shaggy Sapphire  SF003_01С3  2.5*3.5  Vld  беж,8836
/Ковры/Ковры и паласы/,eo5730129,Ковер Shaggy Sapphire  SF003_01С3  Овал  1.0*2.0  Vld  ...,2020
/Ковры/Ковры и паласы/,eo5730131,Ковер Shaggy Sapphire  SF003_01С3  Овал  3.0*4.0  Vld  ...,12117
/Ковры/Ковры и паласы/,eo5730137,Ковер Shaggy Sapphire  SF003_07A1  Овал  0.6*1.2  Vld  ...,727
/Ковры/Ковры и паласы/,eo5730139,Ковер Shaggy Sapphire  SF003_07A1  Овал  1.0*1.5  Vld  ...,1515
/Ковры/Ковры и паласы/,eo5730140,Ковер Shaggy Sapphire  SF003_07A1  Овал  1.0*2.0  Vld  ...,2020
/Ковры/Ковры и паласы/,eo5730142,Ковер Shaggy Sapphire  SF003_07A1  Овал  1.4*2.05  Vld ...,2898
/Ковры/Ковры и паласы/,eo5725013,Ковер Shaggy Sapphire  SF005_01A1  1.5*3.0  Vld  крем,4544
/Ковры/Ковры и паласы/,eo5730152,Ковер Shaggy Sapphire  SF007_02B2  1.0*2.0  Vld  серый,2020
/Ковры/Ковры и паласы/,eo5731180,Ковер Shaggy Sapphire  SF007_02B2  Овал  1.5*3.0  Vld  ...,4544
/Ковры/Ковры и паласы/,eo5725056,Ковер Shaggy Sapphire  SF010_01С3  1.5*3.0  Vld  беж,4544
/Ковры/Ковры и паласы/,eo5731183,Ковер Shaggy Sapphire  SF010_01С3  1.5*4.0  Vld  беж,6059
/Ковры/Ковры и паласы/,eo5731185,Ковер Shaggy Sapphire  SF010_02A1  1.5*3.0  Vld  крем,4544
/Ковры/Ковры и паласы/,eo5731186,Ковер Shaggy Sapphire  SF010_02A1  1.5*4.0  Vld  крем,6059
/Ковры/Ковры и паласы/,eo5730176,Ковер Shaggy Sapphire  SF015_01A1  1.0*1.5  Vld  крем,1515
/Ковры/Ковры и паласы/,eo5730177,Ковер Shaggy Sapphire  SF015_01A1  1.0*2.0  Vld  крем,2020
/Ковры/Ковры и паласы/,eo5730180,Ковер Shaggy Sapphire  SF015_01A1  1.5*1.8  Vld  крем,2727
/Ковры/Ковры и паласы/,eo5731194,Ковер Shaggy Sapphire  SF015_01A1  1.5*3.0  Vld  крем,4544
/Ковры/Ковры и паласы/,eo5730182,Ковер Shaggy Sapphire  SF015_01A1  3.0*4.0  Vld  крем,12117
/Ковры/Ковры и паласы/,eo5725081,Ковер Shaggy Sapphire  SF015_01С3  1.2*1.8  Vld  беж,2181
/Ковры/Ковры и паласы/,eo5725085,Ковер Shaggy Sapphire  SF015_01С3  1.5*3.0  Vld  беж,4544
/Ковры/Ковры и паласы/,eo5731197,Ковер Shaggy Sapphire  SF015_01С3  Овал  1.5*3.0  Vld,4544
/Ковры/Ковры и паласы/,eo5731198,Ковер Shaggy Sapphire  SF015_01С3  Овал  2.5*3.5  Vld,8836
/Ковры/Ковры и паласы/,eo5730194,Ковер Shaggy Sapphire  SF015_02A1  1.0*2.0  Vld  крем,2020
/Ковры/Ковры и паласы/,eo5730196,Ковер Shaggy Sapphire  SF015_02A1  1.5*1.8  Vld  крем,2727
/Ковры/Ковры и паласы/,eo5731199,Ковер Shaggy Sapphire  SF015_02A1  1.5*3.0  Vld  беж,4544
/Ковры/Ковры и паласы/,eo5730199,Ковер Shaggy Sapphire  SF015_06C3  Овал  0.8*1.5  Vld  ...,1212
/Ковры/Ковры и паласы/,eo5730203,Ковер Shaggy Sapphire  SF015_06C3  Овал  1.4*2.05  Vld ...,2898
/Ковры/Ковры и паласы/,eo5730206,Ковер Shaggy Sapphire  SF015_07D4  0.8*1.5  Vld  бирюза,1212
/Ковры/Ковры и паласы/,eo5730207,Ковер Shaggy Sapphire  SF015_07D4  1.0*1.5  Vld  бирюза,1515
/Ковры/Ковры и паласы/,eo5730208,Ковер Shaggy Sapphire  SF015_07D4  1.0*2.0  Vld  бирюза,2020
/Ковры/Ковры и паласы/,eo5730209,Ковер Shaggy Sapphire  SF015_07D4  1.2*1.8  Vld  бирюза,2181
/Ковры/Ковры и паласы/,eo5730211,Ковер Shaggy Sapphire  SF015_07D4  1.5*1.8  Vld  бирюза,2727
/Ковры/Ковры и паласы/,eo5731201,Ковер Shaggy Sapphire  SF015_07D4  1.5*3.0  Vld  бирюза,4544
/Ковры/Ковры и паласы/,eo5731202,Ковер Shaggy Sapphire  SF015_07D4  2.0*3.0  Vld  бирюза,6059
/Ковры/Ковры и паласы/,eo5731210,Ковер Shaggy Sapphire  SF019_02A1  Овал  1.5*3.0  Vld  ...,4544
/Ковры/Ковры и паласы/,eo5730238,Ковер Shaggy Sapphire  SF019_06A1  1.0*2.0  Vld  зелен,2020
/Ковры/Ковры и паласы/,eo5731212,Ковер Shaggy Sapphire  SF019_06A1  1.5*3.0  Vld  зелен,4544
/Ковры/Ковры и паласы/,eo5731213,Ковер Shaggy Sapphire  SF019_06A1  2.0*3.0  Vld  зелен,6059
/Ковры/Ковры и паласы/,eo5730242,Ковер Shaggy Sapphire  SF019_06C3  1.0*1.5  Vld  зелен,1515
/Ковры/Ковры и паласы/,eo5730243,Ковер Shaggy Sapphire  SF019_06C3  1.0*2.0  Vld  зелен,2020
/Ковры/Ковры и паласы/,eo5730244,Ковер Shaggy Sapphire  SF019_06C3  1.2*1.8  Vld  зелен,2181
/Ковры/Ковры и паласы/,eo5730245,Ковер Shaggy Sapphire  SF019_06C3  1.4*2.05  Vld  зелен,2898
/Ковры/Ковры и паласы/,eo5730246,Ковер Shaggy Sapphire  SF019_06C3  1.5*1.8  Vld  зелен,2727
/Ковры/Ковры и паласы/,eo5731214,Ковер Shaggy Sapphire  SF019_06C3  1.5*3.0  Vld  зелен,4544
